Identificación;Profundidad;;Presión de Confinamiento;;Longitud;Diámetro;Vol. Total;Vol. Poroso;Vol. de Granos;Densidad de Granos;Porosidad;Permeabilidad Klinkenberg;;Permeabilidad al Aire;;b;Hi;RQI;Factor b;Alpha;Fecha
;(ft);(m);(psi);(MPa);(cm);(cm);(cm3);(cm3);(cm3);(g/cm3);(%);(md);(mm2);(md);(mm2);;;;(psi);micrones;
PLUG0001;8100.5;2469;800;5.516;4.956;3.693;53.086;11.352;40.681;2.609;21.8;422;4.17E-01;475;4.69E-01;2.50E+07;0.73;1.38;5.05;3.50E+01;220727
PLUG0001;8100.5;2469;1700;11.032;4.956;3.693;53.086;11.176;40.681;2.609;21.6;401;3.96E-01;450;4.44E-01;2.90E+07;0.78;1.35;4.91;3.80E+01;220727
PLUG0001;8100.5;2469;2100;13.79;4.956;3.693;53.086;11.107;40.681;2.609;21.5;390;3.85E-01;437;4.31E-01;3.10E+07;0.8;1.34;4.94;3.90E+01;220727
PLUG0001;8100.5;2469;2400;15.168;4.956;3.693;53.086;11.064;40.681;2.609;21.4;382;3.77E-01;430;4.25E-01;3.10E+07;0.79;1.33;5.15;3.80E+01;220727
PLUG0002;8102.2;2469.6;800;5.516;4.548;3.691;48.663;9.637;38.352;2.609;20.1;81;7.99E-02;93;9.15E-02;1.30E+08;1.04;0.63;6.4;3.30E+01;220727
PLUG0002;8102.2;2469.6;1700;11.032;4.548;3.691;48.663;9.362;38.352;2.609;19.6;61;6.03E-02;71;7.05E-02;1.90E+08;1.13;0.55;7.47;3.80E+01;220727
PLUG0002;8102.2;2469.6;2100;13.79;4.548;3.691;48.663;9.291;38.352;2.609;19.5;57;5.67E-02;68;6.74E-02;1.90E+08;1.11;0.54;8.28;3.50E+01;220727
PLUG0002;8102.2;2469.6;2400;15.168;4.548;3.691;48.663;9.26;38.352;2.609;19.5;56;5.56E-02;67;6.61E-02;2.00E+08;1.13;0.53;8.27;3.60E+01;220727
PLUG0003;8109.3;2471.7;800;5.516;5.305;3.692;56.794;12.759;42.994;2.622;22.9;639;6.30E-01;706;6.96E-01;1.20E+07;0.53;1.66;4.17;2.50E+01;220727
PLUG0003;8109.3;2471.7;1700;11.032;5.305;3.692;56.794;12.8;42.994;2.622;22.9;616;6.08E-01;679;6.70E-01;1.30E+07;0.55;1.64;4.09;2.70E+01;220727
PLUG0003;8109.3;2471.7;2100;13.79;5.305;3.692;56.794;12.419;42.994;2.622;22.4;605;5.97E-01;668;6.59E-01;1.40E+07;0.58;1.63;4.1;2.70E+01;220727
PLUG0003;8109.3;2471.7;2400;15.168;5.305;3.692;56.794;12.383;42.994;2.622;22.4;591;5.84E-01;659;6.50E-01;1.30E+07;0.54;1.61;4.55;2.60E+01;220727
PLUG0004;8111.5;2472.4;800;5.516;3.38;3.702;36.381;8.343;26.664;2.611;23.8;1168;1.2;1315;1.3;6.00E+06;0.39;2.2;4.92;2.30E+01;220727
PLUG0004;8111.5;2472.4;1700;11.032;3.38;3.702;36.381;8.134;26.664;2.611;23.4;1113;1.1;1253;1.2;6.50E+06;0.4;2.17;4.92;2.40E+01;220727
PLUG0004;8111.5;2472.4;2100;13.79;3.38;3.702;36.381;8.069;26.664;2.611;23.2;1117;1.1;1243;1.2;6.90E+06;0.42;2.18;4.39;2.50E+01;220727
PLUG0004;8111.5;2472.4;2400;15.168;3.38;3.702;36.381;8.051;26.664;2.611;23.2;1118;1.1;1238;1.2;7.10E+06;0.44;2.18;4.19;2.60E+01;220727
PLUG0005;8114.6;2473.3;800;5.516;5.089;3.716;55.192;11.844;41.597;2.626;22.2;213;2.10E-01;235;2.32E-01;5.40E+06;-0.07;0.97;4.28;4.00E+00;220726
PLUG0005;8114.6;2473.3;1700;11.032;5.089;3.716;55.192;11.475;41.597;2.626;21.6;199;1.96E-01;220;2.17E-01;6.00E+06;-0.06;0.95;4.41;4.00E+00;220726
PLUG0005;8114.6;2473.3;2100;13.79;5.089;3.716;55.192;11.384;41.597;2.626;21.5;198;1.95E-01;217;2.14E-01;6.50E+06;-0.03;0.95;4.11;4.00E+00;220726
